L -185.8916, 875.0000, 0.0020,  -204.1058, 874.9807, 0.0020,  255, 0, 255
L 144.1069, 881.1082, 10.0020,  144.1064, 888.4122, 10.0020,  0, 0, 0
L 205.8901, 881.1049, 10.0020,  205.8938, 888.4814, 10.0020,  0, 0, 0
L 224.1084, 862.8922, 10.0020,  184.1058, 862.8935, 10.0020,  0, 0, 0
L 224.1075, 888.1614, 10.0020,  224.1084, 862.8922, 10.0020,  0, 0, 0
L 144.1069, 881.1082, 10.0020,  205.8901, 881.1049, 10.0020,  0, 0, 0
L 125.8914, 862.8913, 10.0020,  125.8987, 888.3918, 10.0020,  0, 0, 0
L 165.8918, 862.8922, 10.0020,  125.8914, 862.8913, 10.0020,  0, 0, 0
L 184.1084, 841.1054, 0.0020,  184.1058, 862.8935, 9.0020,  0, 0, 0
L 165.8919, 841.1040, 0.0020,  165.8918, 862.8922, 9.0020,  0, 0, 0
L 203.3196, 702.3206, 0.8408,  206.3021, 702.2503, 0.8446,  0, 0, 0
L 230.8925, 751.1154, 1.0020,  227.1075, 751.1032, 1.0020,  0, 0, 0
L 230.5201, 751.1141, 1.0020,  230.5200, 738.8902, 1.0020,  127, 127, 0
L 230.8914, 738.8898, 1.0030,  227.1062, 738.8939, 1.0020,  0, 0, 0
L 172.7010, 751.1039, 1.0020,  172.6848, 738.8943, 1.0020,  127, 127, 0
L 172.8919, 757.1087, 1.0020,  172.8941, 751.1035, 1.0020,  0, 0, 0
L 227.1085, 757.1086, 1.0020,  172.8919, 757.1087, 1.0020,  0, 0, 0
L 227.1075, 751.1032, 1.0020,  227.1085, 757.1086, 1.0020,  0, 0, 0
L 227.3613, 738.8936, 1.0020,  227.3341, 751.1039, 1.0020,  127, 127, 0
L 227.1078, 732.9400, 1.0020,  227.1062, 738.8939, 1.0020,  0, 0, 0
L 172.8918, 732.8914, 1.0020,  227.1078, 732.9400, 1.0020,  0, 0, 0
L 172.8963, 738.8948, 1.0020,  172.8918, 732.8914, 1.0020,  0, 0, 0
L 169.1079, 738.8871, 1.0020,  172.8963, 738.8948, 1.0020,  0, 0, 0
L 172.8941, 751.1035, 1.0020,  169.1087, 751.1113, 1.0020,  0, 0, 0
L 169.5141, 738.8879, 1.0020,  169.5090, 751.2558, 1.0020,  127, 127, 0
L 230.8930, 729.1078, 0.0020,  169.1079, 729.1063, 0.0020,  0, 0, 0
L 230.8914, 738.8898, 0.0020,  230.8930, 729.1078, 0.0020,  0, 0, 0
L 230.8900, 760.8926, 0.0020,  230.8925, 751.1154, 0.0020,  0, 0, 0
L 169.1066, 760.8915, 0.0020,  230.8900, 760.8926, 0.0020,  0, 0, 0
L 169.1087, 751.1113, 0.0020,  169.1066, 760.8915, 0.0020,  0, 0, 0
L 169.1079, 729.1063, 0.0020,  169.1079, 738.8871, 0.0020,  0, 0, 0
L 104.7264, 759.6241, 1.0067,  105.0957, 759.6246, 1.0067,  0, 0, 240
L 33.8652, 731.4089, 1.0020,  33.8944, 699.3772, 22.0020,  240, 240, 240
L -23.9077, 626.5789, 22.0020,  -24.0079, 594.7849, 1.0020,  240, 240, 240
L 21.1514, 626.5554, 22.0020,  21.2797, 586.8911, 22.0020,  240, 240, 240
L -23.9077, 626.5789, 22.0020,  21.1514, 626.5554, 22.0020,  240, 240, 240
L -32.1192, 789.1195, 21.9885,  -32.1169, 772.8915, 21.9992,  240, 240, 240
L 42.1093, 789.0645, 22.0020,  -32.1192, 789.1195, 22.0014,  240, 240, 240
L 42.1082, 772.8891, 22.0020,  42.1093, 789.0645, 22.0020,  240, 240, 240
L -10.7613, 699.2444, 22.0020,  -10.8802, 769.1082, 22.0020,  240, 240, 240
L 33.8944, 699.3772, 22.0020,  -10.7613, 699.2444, 22.0020,  240, 240, 240
L 28.4145, 748.8583, 1.0020,  28.3758, 753.8915, 1.0020,  127, 64, 0
L 24.7287, 753.8916, 1.0020,  28.3758, 753.8915, 1.0020,  127, 64, 0
L 24.7284, 769.1077, 1.0020,  24.7287, 753.8916, 1.0020,  127, 64, 0
L 19.6084, 748.8583, 1.0020,  28.4145, 748.8583, 1.0020,  127, 64, 0
L 19.6084, 769.1087, 1.0020,  19.6084, 748.8583, 1.0020,  127, 64, 0
L -10.7715, 750.6417, 1.0020,  -15.7842, 750.6415, 1.0020,  127, 64, 0
L -10.7713, 728.7696, 1.0020,  -10.7715, 750.6417, 1.0020,  127, 64, 0
L -16.0179, 728.7725, 1.0020,  -10.7713, 728.7696, 1.0020,  127, 64, 0
L -16.0179, 728.7725, 1.0020,  -15.7842, 750.6415, 1.0020,  127, 64, 0
L -15.8919, 639.3583, 1.0020,  -10.7712, 639.3583, 1.0020,  127, 64, 0
L -15.8916, 700.7283, 1.0020,  -15.8919, 639.3583, 1.0020,  127, 64, 0
L -10.7717, 700.7286, 1.0020,  -15.8916, 700.7283, 1.0020,  127, 64, 0
L -10.7712, 639.3583, 1.0020,  -10.7717, 700.7286, 1.0020,  127, 64, 0
L -32.0882, 584.8916, 1.0020,  -4.8912, 584.8929, 1.0020,  0, 0, 0
L -32.1085, 769.1109, 1.0020,  -32.0882, 584.8916, 1.0020,  0, 0, 0
L -9.1054, 769.1066, 1.0020,  -32.1085, 769.1109, 1.0020,  0, 0, 0
